ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
evi full,502,15 assemblies merged,evigene ok + alt/cull set,,31464010,16.54681954,18056,40971349,46.28122756,276150587,235179238,173886,32354,141532,14522,0.690203942,0.186064433,0.813935567,0.293112039
evi4F --> TF1,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter),,29614632,15.57423772,17193,39072507,44.13629602,169279964,130207457,102848,30392,72456,16484,0.648348835,0.295504045,0.704495955,0.405973658
evi4F --> TF2,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,29318871,15.41869798,17074,38771961,43.79679932,163908042,125136081,100219,30276,69943,16600,0.645874221,0.302098404,0.697901596,0.411652334
evi4F --> TF3,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,29036902,15.27041141,16945,38448729,43.43167652,155815485,117366756,95936,30074,65862,16802,0.64156498,0.31347982,0.68652018,0.421169089
evi4 --> TF --> Det,504,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,28471195,14.97290796,16554,37689880,42.57448084,136228407,98538527,81917,28995,52922,17881,0.618546804,0.353955833,0.646044167,0.45025739
transfuse 1 (filter),505,15 assemblies merged,Transfuse (filter),,30676800,16.13282838,18235,42223075,47.695177,235045267,192822192,181309,35587,145722,11289,0.759173138,0.196278177,0.803721823,0.311913579
transfuse 2 (vsearch),505,15 assemblies merged,Transfuse (filter &#8594; vsearch),,29992202,15.77280054,17867,41664902,47.06466489,180002636,138337734,136564,35157,101407,11719,0.75,0.257439735,0.742560265,0.383307894
transfuse 3 (transrate),505,15 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate),,29725689,15.63264223,17746,41277980,46.62759788,166506877,125228897,128144,34900,93244,11976,0.74451745,0.272349856,0.727650144,0.398811564
TF -->Det ,506,15 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,29309299,15.4136641,17462,40563720,45.82076992,147008830,106445110,112481,34139,78342,12737,0.72828313,0.303509037,0.696490963,0.428459371
ORP 1 (orthomerged),508,15 assemblies merged,ORP (orthomerged),,20144677,10.59401948,15728,27485925,31.04809533,94778678,67292753,166458,31795,134663,15081,0.678278863,0.191009143,0.808990857,0.298077194
ORP 2 (cd-hit),508,15 assemblies merged,ORP (orthomerged &#8594; cd-hit c=1; original method used c=0.98),,22208897,11.679586,15602,27442905,30.99949995,87174388,59731483,142601,31664,110937,15212,0.675484256,0.222046129,0.777953871,0.334225262
ORP 3 (High exp),508,15 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression TPM&#8805;0.05; original method used TPM&#8805;1),,17983723,9.457580871,13918,23659551,26.72582403,62162380,38502829,78377,25772,52605,21104,0.549790938,0.328820955,0.671179045,0.411519085
ORP 4 (with blast),508,15 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression &#8594;  blast recovery of low exp.),,33656826,17.70001427,19926,25885519,29.24027704,71075683,45190164,90650,27841,62809,19035,0.593928663,0.30712631,0.69287369,0.40488344
All + norm,601,all (58) assemblies merged,with trimmed reads: IDBA k=21-71 step 10; rnaSPAdes k=29 33 49 55; Soap k=21-31 step 2 &amp; k=41-71 step 10; TransLiG k=21-31 step 2 <br />with BBNorm normalized reads: IDBA k=21-71 step 10; rnaSPAdes k=29 33 49 55; Soap k=21-31 step 2 &amp; k=41-71 step 10; TransLiG k=21-31 step 2 <br />with assembly <em>in-silico normalization</em>: Trinity k=21-31 step 2,,38544143,20.27023823,21958,51784498,58.49575849,4611786331,4560001833,4984001,42160,4941841,4716,0.899394146,0.008459067,0.991540933,0.016760497
evigene full,602,all (58) assemblies merged,evigene ok + alt/cull set,,33527446,17.63197375,19274,43653435,49.31091136,585115108,541461673,360172,35348,324824,11528,0.75407458,0.098141999,0.901858001,0.173679763
evi4F --> TF1,603,all (58) assemblies merged,evigene full set &#8594; Transfuse (filter),,29629354,15.58197997,17636,39710281,44.8567254,211529118,171818837,135920,32431,103489,14445,0.691846574,0.23860359,0.76139641,0.35483271
evi4F --> TF2,603,all (58) assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,29593413,15.56307872,17607,39601182,44.73348719,205803057,166201875,133063,32357,100706,14519,0.690267941,0.243170528,0.756829472,0.359644102
evi4F --> TF3,603,all (58) assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,29201633,15.3570429,17435,39076306,44.14058737,187177513,148101207,123156,31995,91161,14881,0.682545439,0.259792458,0.740207542,0.376340924
evi4 --> TF --> Det,604,all (58) assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,28497439,14.98670959,16945,38077688,43.01254868,157185071,119107383,100306,30615,69691,16261,0.653106067,0.305216039,0.694783961,0.416015545
con2-eviFull Best evi set,606,all (58) assemblies merged,intersection of consensus 2 and evigene full sets,,21467419,11.28964516,13868,27395661,30.94613314,122809437,95413776,54316,22163,32153,24713,0.47280058,0.408038147,0.591961853,0.43803858
con2/evi4 -- Transfuse 1,607,all (58) assemblies merged,con2 U evigene full &#8594; Transfuse (filter),,20812606,10.94528115,13481,26644720,30.09787033,98160749,71516029,44602,21259,23343,25617,0.453515658,0.476637819,0.523362181,0.464789348
con2/evi4 -- Transfuse 2,607,all (58) assemblies merged,con2 U evigene full &#8594; Transfuse (filter &#8594; vsearch),,20660555,10.86531803,13408,26444735,29.87196732,96464915,70020180,44403,21126,23277,25750,0.450678386,0.475778664,0.524221336,0.462888507
con2/evi4 -- Transfuse 3,607,all (58) assemblies merged,con2 U evigene full &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,20547169,10.8056887,13366,26356551,29.77235469,93538366,67181815,43458,21042,22416,25834,0.448886424,0.484191633,0.515808367,0.465871101
con2/evi4 --TF--Det,608,all (58) assemblies merged,con2 U evigene full &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,20286020,10.6683513,13105,25926474,29.2865398,86148262,60221788,39266,20234,19032,26642,0.431649458,0.515305863,0.484694137,0.469782452
consensus 2,605,all (58) assemblies merged,consensus 2,,34325049,18.05143055,19328,47604676,53.7742324,450850306,403245630,202055,36841,165214,10035,0.785924567,0.182331543,0.817668457,0.295993669
consensus 3,605,all (58) assemblies merged,consensus 3,,31281679,16.45093226,17740,43097398,48.68281208,268117377,225019979,109912,32613,77299,14263,0.695729158,0.296719194,0.703280806,0.416013981
consensus 4,605,all (58) assemblies merged,consensus 4,,26904195,14.1488278,15460,36358543,41.07060283,151377963,115019420,60456,26767,33689,20109,0.571017152,0.442751753,0.557248247,0.498770171
consensus 5,605,all (58) assemblies merged,consensus 5,,17917999,9.423016835,10707,17917999,20.24016805,61699703,43781704,22631,10707,11924,36169,0.228411127,0.473112103,0.526887897,0.308084078
consensus 2 -- Transfuse 1,609,all (58) assemblies merged,consensus 2 &#8594; Transfuse (filter),,32213867,16.94116687,18160,44641049,50.42651994,212692563,168051514,112977,33983,78994,12893,0.724955201,0.300795737,0.699204263,0.425178132
consensus 2 -- Transfuse 2,609,all (58) assemblies merged,consensus 2 &#8594; Transfuse (filter &#8594; vsearch),,31671901,16.65614873,17944,44037844,49.74513969,206633813,162595969,111976,33683,78293,13193,0.718555337,0.30080553,0.69919447,0.424080276
consensus 2 -- Transfuse 3,609,all (58) assemblies merged,consensus 2 &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,31354378,16.48916443,17805,43609199,49.26094239,192377615,148768416,106321,33423,72898,13453,0.713008789,0.314359346,0.685640654,0.436340137
consensus 2 -- TF--Det,610,all (58) assemblies merged,consensus 2 &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,30771718,16.18274545,17445,42716271,48.2522911,162469201,119752930,90634,32394,58240,14482,0.691057257,0.357415539,0.642584461,0.471151189
consensus 2 -- evi4Full,611,all (58) assemblies merged,consensus 2 &#8594; evigene full set,,30409565,15.99229038,17021,40358005,45.5883943,224480173,184122168,93267,29151,64116,17725,0.621874733,0.31255428,0.68744572,0.416017925
Trinity k=25 -- Compacta d=0,701,Trinity (k=25),Compacta (d=0.0),,4065100,2.137822741,7914,6666744,7.530752677,17499845,10833101,42493,16697,25796,30179,0.356195068,0.392935307,0.607064693,0.373664246
Trinity k=25 -- Compacta d=0.3,701,Trinity (k=25),Compacta (d=0.3),,9992928,5.255248021,10691,13495291,15.24427799,29026844,15531553,53145,20785,32360,26091,0.443403874,0.391099821,0.608900179,0.415612721
Trinity k=25 -- Compacta d=1,701,Trinity (k=25),Compacta (d=1.0),,24872303,13.08026247,16523,33239794,37.54766459,96284624,63044830,110550,31208,79342,15668,0.665756464,0.282297603,0.717702397,0.396478345
con2--Tf--Det--Compacta d=0,702,consensus 2,Compacta (d=0.0),,3578251,1.881790451,5989,5556011,6.276068904,11205654,5649643,19210,11175,8035,35701,0.238394914,0.581728267,0.418271733,0.338195684
con2--Tf--Det--Compacta d=0.3,702,consensus 2,Compacta (d=0.3),,4042067,2.125709762,6313,6192844,6.995435332,12202952,6010108,20047,11747,8300,35129,0.250597321,0.585972964,0.414027036,0.351060174
con2--Tf--Det--Compacta d=1,702,consensus 2,Compacta (d=1.0),,6651375,3.497936271,8331,10193689,11.51478904,23000811,12807122,29197,16072,13125,30804,0.342862019,0.550467514,0.449532486,0.422541506
"Trinity k=25 -- Grouper (with orphaned reads, min cut filter)",705,Trinity (k=25),Grouper (with orphaned reads and min cut filters),,16951582,8.914781309,12739,21041134,23.76806072,36684910,15643776,45051,22105,22946,24771,0.471563273,0.490666134,0.509333866,0.480925082
"Trinity k=25 -- Grouper (without orphaned reads, min cut filter)",705,Trinity (k=25),Grouper (without orphaned reads or min cut filters),,17184103,9.037063339,12870,21380836,24.15178803,37871511,16490675,46798,22423,24375,24453,0.478347129,0.479144408,0.520855592,0.478745436
"con2--Tf--Det--Grouper (with orphaned reads, min cut filter)",706,consensus 2,Grouper (with orphaned reads and min cut filters),,18290559,9.618944916,12028,22969391,25.94621944,38875355,15905964,29380,19532,9848,27344,0.416673778,0.66480599,0.33519401,0.512274444
"con2--Tf--Det--Grouper (without orphaned reads, min cut filter)",706,consensus 2,Grouper (without orphaned reads or min cut filters),,18294641,9.621091626,12049,22998014,25.97855197,38986739,15988725,29550,19617,9933,27259,0.418487072,0.663857868,0.336142132,0.513359328
"Trinity k=25 -- Corset d=0, clusters",703,Trinity (k=25),Corset clusters (d=0.0),,27249726,14.33054142,17498,36613771,41.35890833,111301041,74687270,119106,32577,86529,14299,0.694961174,0.273512669,0.726487331,0.39253654
"Trinity k=25 -- Corset d=0.3, clusters",703,Trinity (k=25),Corset clusters (d=0.3),,20177883,10.61148241,14565,26045056,29.42049,59554294,33509238,84690,27102,57588,19774,0.578163666,0.320014169,0.679985831,0.41199094
"Trinity k=25 -- Corset d=1, clusters",703,Trinity (k=25),Corset clusters (d=1.0),,16217294,8.528621661,12050,19682686,22.23355813,33838449,14155763,40613,20363,20250,26513,0.434401399,0.50139118,0.49860882,0.46549852
"con2--Tf--Det--Corset d=0, clusters",704,consensus 2,Corset clusters (d=0.0),,30306242,15.93795315,17225,42104850,47.56163006,152611417,110506567,83513,31694,51819,15182,0.676124243,0.379509777,0.620490223,0.486145304
"con2--Tf--Det--Corset d=0.3, clusters",704,consensus 2,Corset clusters (d=0.3),,20841666,10.96056371,13707,27731704,31.32572724,59262834,31531130,47651,24765,22886,22111,0.528308729,0.51971627,0.48028373,0.523977276
"con2--Tf--Det--Corset d=1, clusters",704,consensus 2,Corset clusters (d=1.0),,11889463,6.252629549,9384,14602309,16.4947653,22023330,7421021,22443,14987,7456,31889,0.319715846,0.6677806,0.3322194,0.432406699
"Trinity k=25 -- Corset, super-clusters",703,Trinity (k=25),Corset superclusters,,4055781,2.13292191,7407,6517778,7.362480713,15931361,9413583,32281,15062,17219,31814,0.321315812,0.466590254,0.533409746,0.380560153
"con2--Tf--Det--Corset, super-clusters",704,consensus 2,Corset superclusters,,3536922,1.860055665,5782,5449478,6.155729249,10646978,5197500,17310,10604,6706,36272,0.226213841,0.612593876,0.387406124,0.330414732
IDBA_HFk21.fa,idba,IDBA,trimmed reads; k=21,,16738165,8.802546009,15422,22185959,25.06125481,63963386,41777427,109317,27166,82151,19710,0.57952897,0.248506637,0.751493363,0.347851696
IDBA_HFk31.fa,idba,IDBA,trimmed reads; k=31,,24631700,12.95373014,16876,32472435,36.68085602,84954344,52481909,106167,31087,75080,15789,0.663175186,0.292812267,0.707187733,0.406251838
IDBA_HFk41.fa,idba,IDBA,trimmed reads; k=41,,26001413,13.67405771,16951,34795897,39.30543823,93604417,58808520,110011,31695,78316,15181,0.676145576,0.288107553,0.711892447,0.404048774
IDBA_HFk51.fa,idba,IDBA,trimmed reads; k=51,,26679293,14.03055258,16946,36178296,40.86699586,102781638,66603342,110401,31856,78545,15020,0.679580169,0.288548111,0.711451889,0.405094197
IDBA_HFk61.fa,idba,IDBA,trimmed reads; k=61,,27076789,14.23959442,16873,37056318,41.85880933,106010472,68954154,108845,31740,77105,15136,0.677105555,0.291607332,0.708392668,0.407652147
IDBA_HFk71.fa,idba,IDBA,trimmed reads; k=71,,27069043,14.23552082,16689,37169524,41.98668681,102404687,65235163,104171,31368,72803,15508,0.669169724,0.301120273,0.698879727,0.41534092
IDBA_HTk21.fa,idba,IDBA,normalized trimmed reads; k=21,,18077032,9.506651768,15480,23478778,26.52162289,65713349,42234571,104254,26673,77581,20203,0.569011861,0.255846298,0.744153702,0.352980877
IDBA_HTk31.fa,idba,IDBA,normalized trimmed reads; k=31,,24962192,13.1275348,16882,32677143,36.91209414,84447181,51770038,101731,30630,71101,16246,0.65342606,0.301088164,0.698911836,0.412228226
IDBA_HTk41.fa,idba,IDBA,normalized trimmed reads; k=41,,26239609,13.79932421,16950,35045449,39.58733212,92385791,57340342,105736,31275,74461,15601,0.667185767,0.295783839,0.704216161,0.40986292
IDBA_HTk51.fa,idba,IDBA,normalized trimmed reads; k=51,,26888514,14.14058122,16956,36300804,41.00538087,101140037,64839233,106118,31415,74703,15461,0.67017237,0.296038372,0.703961628,0.410669699
IDBA_HTk61.fa,idba,IDBA,normalized trimmed reads; k=61,,27330938,14.37325055,16875,37256541,42.08498119,103695364,66438823,102950,31261,71689,15615,0.666887106,0.303652258,0.696347742,0.417297398
IDBA_HTk71.fa,idba,IDBA,normalized trimmed reads; k=71,,27307484,14.36091616,16710,37458396,42.31299656,100391784,62933388,99022,30941,68081,15935,0.660060585,0.312465917,0.687534083,0.424145636
rnaSPAdes_HFk29.fa,102,rnaSPAdes,trimmed reads; k=29,,23905206,12.57166934,15617,32461582,36.66859647,89598319,57136737,96912,31190,65722,15686,0.665372472,0.321838369,0.678161631,0.433833143
rnaSPAdes_HFk33.fa,102,rnaSPAdes,trimmed reads; k=33,,24102270,12.67530465,15663,32903892,37.16822976,90751368,57847476,99110,31496,67614,15380,0.671900333,0.317788316,0.682211684,0.431493431
rnaSPAdes_HFk49.fa,102,rnaSPAdes,trimmed reads; k=49,,24158105,12.70466809,15429,33110770,37.40191911,90815460,57704690,102007,31215,70792,15661,0.665905794,0.306008411,0.693991589,0.419322555
rnaSPAdes_HFk55.fa,102,rnaSPAdes,trimmed reads; k=55,,23977422,12.60964749,15316,32835859,37.0913797,89909564,57073705,101343,30813,70530,16063,0.657329977,0.304046653,0.695953347,0.415776655
rnaSPAdes_HTk29.fa,102,rnaSPAdes,normalized trimmed reads; k=29,,23660516,12.44298767,15506,32106674,36.26769247,89776407,57669733,94674,30871,63803,16005,0.658567284,0.326076853,0.673923147,0.436185094
rnaSPAdes_HTk33.fa,102,rnaSPAdes,normalized trimmed reads; k=33,,23850424,12.54285966,15555,32484988,36.69503589,90482349,57997361,96622,31222,65400,15654,0.666055124,0.323135518,0.676864482,0.435155891
rnaSPAdes_HTk49.fa,102,rnaSPAdes,normalized trimmed reads; k=49,,23818108,12.52586478,15277,32526032,36.74139918,89369260,56843228,98938,30821,68117,16055,0.65750064,0.311518325,0.688481675,0.422744044
rnaSPAdes_HTk55.fa,102,rnaSPAdes,normalized trimmed reads; k=55,,23619616,12.42147849,15186,32156871,36.32439499,88401317,56244446,97727,30373,67354,16503,0.647943511,0.310794356,0.689205644,0.420088103
SOAPdenovo_HFk21.fa,103,SOAPdenovo-Trans,trimmed reads; k=21,,20500184,10.78097945,14695,26549965,29.9908351,58067018,31517053,89521,26099,63422,20777,0.556766789,0.291540532,0.708459468,0.382691701
SOAPdenovo_HFk23.fa,103,SOAPdenovo-Trans,trimmed reads; k=23,,20484330,10.77264188,14618,26614562,30.06380386,57858852,31244290,87656,25942,61714,20934,0.553417527,0.295952359,0.704047641,0.385662891
SOAPdenovo_HFk25.fa,103,SOAPdenovo-Trans,trimmed reads; k=25,,20388184,10.72207902,14619,26374761,29.7929247,57443218,31068457,86053,25883,60170,20993,0.552158887,0.300779752,0.699220248,0.389425934
SOAPdenovo_HFk27.fa,103,SOAPdenovo-Trans,trimmed reads; k=27,,20237556,10.64286424,14680,26137448,29.52485599,57232813,31095365,85730,26016,59714,20860,0.55499616,0.303464365,0.696535635,0.392380435
SOAPdenovo_HFk29.fa,103,SOAPdenovo-Trans,trimmed reads; k=29,,19941937,10.48739918,14817,25707595,29.03929412,56460695,30753100,85711,26323,59388,20553,0.561545354,0.307113439,0.692886561,0.397067586
SOAPdenovo_HFk31.fa,103,SOAPdenovo-Trans,trimmed reads; k=31,,19556297,10.28459237,14859,25117105,28.37227674,55552271,30435166,85766,26271,59495,20605,0.560436044,0.306310193,0.693689807,0.396118876
SOAPdenovo_HFk41.fa,103,SOAPdenovo-Trans,trimmed reads; k=41,,17235066,9.063864613,14398,21715062,24.52932965,49463170,27748108,84988,23984,61004,22892,0.511647752,0.282204547,0.717795453,0.363768731
